r_id,r_date,age,campus,class,ethnicity,gender,housing,housing_actual,status,vet,worker,drive,license,mode,mode_cat,camp_camp,camp_cat,park_campus_week,park_campus_days,tocamp_week,travel_time,travel_distance,main_route,region,informed,email_freq,email_read,email_subject,email_rules,rule_not_read,parking_ed,zip,x,y,park_pref,park_pref_2,park_permit,permit_type,permit_type_2,no_permit_why,no_permit,goldvgreen,greenvgold,lots_campus,park_where,park_awarness,park_avalible,park_first_choice,drive_res_class,drive_res_class_days,res_park,res_park2,mills_campus_peak,park_pref_peak,bv_campus_peak,centeral_camp_peak,lot_full,circle_time,comments,rate_overall_group,rate_overall,rate_maintenance,rate_online,rate_staff,rate_officers,rate_lot_safety,rate_clean,reason_no_vehicle,why_no_license,drop_off,rideshare_camp
1,3/18/2024,21,Main,Sophomore,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,0 days,0,,15,0,,,Text Message,Less than I would like,Sometimes,Always,No: I have read nOne of the Rules and RegulatiOns,"other, please specify:",Definitely not,78666,,,I never drive to campus - I Only drive my car for nOn-university uses,Do not drive to campus,,,,,,,,,,,,,,,,,,,,,,,Lower the price and build more garages,,,,,,,,,,,,
2,3/18/2024,20,Main,Junior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,0 days,0,,0,0,,,TXST App,About right,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78666,,,"A university lot or garage - with the correct parking permit,Free parking On a city or neighborhood street,I never drive to campus - I Only drive my car for nOn-university uses","A university lot or garage - with the correct parking permit, Free parking on a city or neighborhood street, Do not drive to campus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,bv,Bobcat Village Apartments,Full-time,,,Yes,,,,"Bobcat Shuttle,Walk","Bobcat Shuttle, Walk",4 days,4,,,,,,Text Message,More than I would like,Sometimes,About half the time,No: I have read nOne of the Rules and RegulatiOns,Not interested,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,,,,,,,,,,,,Yes,A red or green university lot or garage,Circle until a space becomes available,15 to 30 minutes,,Detractor,2,Neither satisfied nor dissatisfied,Somewhat difficult,Somewhat dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,,,,
4,3/18/2024,19,Main,Sophomore,Asian,Female,bv,Bobcat Village Apartments,Full-time,,,Yes,,,,"Drive,Bobcat Shuttle,Walk,Uber / Lyft","Drive, Bobcat Shuttle, Walk, Uber / Lyft",3 days,3,,,,,,Email,About right,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,,,,,,,,,,,,Yes,The LBJ Student Center Parking Garage (pay by the hour),"Other, please specify:",,more parking lots please,Detractor,1,Somewhat dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,,,,A few times a semester
5,3/18/2024,19,Main,Sophomore,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Private Shuttle Bus,Alternative,Walk,Walk,1 day,1,,0,0,,,Text Message,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Might or might not,78666,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,No,,,Permit cost is too high,,,,,,,,,,,,,,,,,,,Make more free lots,Detractor,0,Neither satisfied nor dissatisfied,Neither easy nor difficult,Extremely dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,,
6,3/18/2024,22,Main,Junior,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Walk,Walk,5 days,5,,0,5,Wonder World,,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,78666,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Bobcat Stadium East Lot (P10E),Closest to class,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,My preferred lot does not get full,,More spaces closer to campus for commuters.,Detractor,4,Somewhat satisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
7,3/18/2024,19,Main,Junior,Black/Af Am,Female,Off,Off-Campus,Full-time,Veteran Dependent,,Yes,,Bobcat Shuttle,Alternative,"Bobcat Shuttle,Walk","Bobcat Shuttle, Walk",1 day,1,,0,0,,,Email,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Too long,Might or might not,78666,,,"A university lot or garage - without the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - without the correct parking permit, LBJ PTP",No,,,Permit cost is too high,,,,,,,,,,,,,,,,,,,Give more leniency to others who are parked in the wrOng parking garages. When nite cats isn’t available it’s not the best idea to park somewhere because it’s right when you’re walking alOne at night.,Detractor,1,Neither satisfied nor dissatisfied,Neither easy nor difficult,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,,,,
8,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,On,Falls Hall,Full-time,Veteran,,Yes,,,,Walk,Walk,5 days,5,,,,,,Text Message,About right,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Probably not,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,No,,Other Green Residential Parking,,,,,,Circle until a space becomes available,15 to 30 minutes,Create more parking lots.,Detractor,0,Somewhat dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,,,,
9,3/18/2024,21,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Part-time,,,Yes,,Walk,Active,Walk,Walk,0 days,0,,0,0,,,Social Media,Less than I would like,Always,,No: I have read nOne of the Rules and RegulatiOns,I already know what I need to know,Probably not,78666,,,I never drive to campus - I Only drive my car for nOn-university uses,Do not drive to campus,,,,,,,,,,,,,,,,,,,,,,,"I live in Sanctuary lofts- acquired by txst. I understand they need to implement housing rules, however taking away guest parking was unreasOnable and upsetting.",,,,,,,,,,,,
10,3/18/2024,18,Main,Freshman,White Non-Hisp,Female,On,Bexar Hall,Full-time,,,No,Yes,,,"Walk,Catch a ride / Carpool","Walk, Catch a ride / Carpool",,,,,,,,Email,More than I would like,Never,Sometimes,No: I have read nOne of the Rules and RegulatiOns,Too long,Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Make more parking, especially for Off campus students",,,,,,,,,My parents/guardians would not allow it,,,
